Season,Episode,Name
Season 2,Episode 2,matthos
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,robb stark
Season 2,Episode 2,jaime lannister
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,robb stark
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,catelyn stark
Season 2,Episode 2,robb stark
Season 2,Episode 2,catelyn stark
Season 2,Episode 2,joffrey lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,joffrey lannister
Season 2,Episode 2,janos
Season 2,Episode 2,blacksmith
Season 2,Episode 2,end
Season 2,Episode 2,title
Season 2,Episode 2,jaqen hghar
Season 2,Episode 2,jaqen hghar
Season 2,Episode 2,arya stark
Season 2,Episode 2,jaqen hghar
Season 2,Episode 2,arya stark
Season 2,Episode 2,rorge
Season 2,Episode 2,jaqen hghar
Season 2,Episode 2,rorge
Season 2,Episode 2,arya stark
Season 2,Episode 2,rorge
Season 2,Episode 2,jaqen hghar
Season 2,Episode 2,rorge
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gold cloak
Season 2,Episode 2,yoren
Season 2,Episode 2,gold cloak
Season 2,Episode 2,yoren
Season 2,Episode 2,gold cloak
Season 2,Episode 2,yoren
Season 2,Episode 2,yoren
Season 2,Episode 2,yoren
Season 2,Episode 2,gold cloak
Season 2,Episode 2,varys
Season 2,Episode 2,shae
Season 2,Episode 2,varys
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,varys
Season 2,Episode 2,shae
Season 2,Episode 2,varys
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,shae
Season 2,Episode 2,varys
Season 2,Episode 2,shae
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,varys
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,varys
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,varys
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,varys
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,varys
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,alton
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,alton
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,pycelle
Season 2,Episode 2,varys
Season 2,Episode 2,petyr baelish
Season 2,Episode 2,varys
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,pycelle
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,varys
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,edd
Season 2,Episode 2,grenn
Season 2,Episode 2,edd
Season 2,Episode 2,sam
Season 2,Episode 2,edd
Season 2,Episode 2,grenn
Season 2,Episode 2,sam
Season 2,Episode 2,grenn
Season 2,Episode 2,sam
Season 2,Episode 2,grenn
Season 2,Episode 2,sam
Season 2,Episode 2,grenn
Season 2,Episode 2,sam
Season 2,Episode 2,edd
Season 2,Episode 2,sam tarly
Season 2,Episode 2,gilly
Season 2,Episode 2,sam
Season 2,Episode 2,gilly
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,gilly
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,gilly
Season 2,Episode 2,jon snow
Season 2,Episode 2,gilly
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,sam
Season 2,Episode 2,jon snow
Season 2,Episode 2,jorah mormont
Season 2,Episode 2,jorah mormont
Season 2,Episode 2,daenerys targaryen
Season 2,Episode 2,daenerys targaryen
Season 2,Episode 2,jorah mormont
Season 2,Episode 2,daenerys targaryen
Season 2,Episode 2,irri
Season 2,Episode 2,daenerys targaryen
Season 2,Episode 2,irri
Season 2,Episode 2,daenerys targaryen
Season 2,Episode 2,daenerys targaryen
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,woman
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,man
Season 2,Episode 2,petyr baelish
Season 2,Episode 2,petyr baelish
Season 2,Episode 2,roz
Season 2,Episode 2,petyr baelish
Season 2,Episode 2,roz
Season 2,Episode 2,petyr baelish
Season 2,Episode 2,roz
Season 2,Episode 2,petyr baelish
Season 2,Episode 2,roz
Season 2,Episode 2,petyr baelish
Season 2,Episode 2,podrick
Season 2,Episode 2,janos
Season 2,Episode 2,podrick
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,bronn
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,bronn
Season 2,Episode 2,janos
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,bronn
Season 2,Episode 2,lommy
Season 2,Episode 2,hot pie
Season 2,Episode 2,arya stark
Season 2,Episode 2,hot pie
Season 2,Episode 2,arya stark
Season 2,Episode 2,hot pie
Season 2,Episode 2,lommy
Season 2,Episode 2,hot pie
Season 2,Episode 2,arya stark
Season 2,Episode 2,hot pie
Season 2,Episode 2,lommy
Season 2,Episode 2,hot pie
Season 2,Episode 2,arya stark
Season 2,Episode 2,hot pie
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,hot pie
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,hot pie
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,hot pie
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,arya stark
Season 2,Episode 2,gendry baratheon
Season 2,Episode 2,man
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,man
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,man
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,yara greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,all three
Season 2,Episode 2,balon
Season 2,Episode 2,theon greyjoy
Season 2,Episode 2,balon
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,matthos
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,matthos
Season 2,Episode 2,saan
Season 2,Episode 2,matthos
Season 2,Episode 2,saan
Season 2,Episode 2,matthos
Season 2,Episode 2,saan
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,matthos
Season 2,Episode 2,davos
Season 2,Episode 2,saan
Season 2,Episode 2,davos
Season 2,Episode 2,matthos
Season 2,Episode 2,davos
Season 2,Episode 2,matthos
Season 2,Episode 2,davos
Season 2,Episode 2,matthos
Season 2,Episode 2,davos
Season 2,Episode 2,matthos
Season 2,Episode 2,davos
Season 2,Episode 2,matthos
Season 2,Episode 2,davos
Season 2,Episode 2,matthos
Season 2,Episode 2,davos
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,tyrion lannister
Season 2,Episode 2,cersei lannister
Season 2,Episode 2,davos
Season 2,Episode 2,matthos
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,davos
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,davos
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,davos
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,davos
Season 2,Episode 2,melisandre
Season 2,Episode 2,davos
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 2,melisandre
Season 2,Episode 2,stannis baratheon
Season 2,Episode 3,craster
Season 2,Episode 3,craster
Season 2,Episode 3,craster
Season 2,Episode 3,jeor
Season 2,Episode 3,jon snow
Season 2,Episode 3,jeor
Season 2,Episode 3,sam
Season 2,Episode 3,jeor
Season 2,Episode 3,jeor
Season 2,Episode 3,jon snow
Season 2,Episode 3,jeor
Season 2,Episode 3,jon snow
Season 2,Episode 3,jon snow
Season 2,Episode 3,jeor
Season 2,Episode 3,jon snow
Season 2,Episode 3,jeor
Season 2,Episode 3,jon snow
Season 2,Episode 3,jeor
Season 2,Episode 3,jeor
Season 2,Episode 3,sam
Season 2,Episode 3,gilly
Season 2,Episode 3,sam
Season 2,Episode 3,gilly
Season 2,Episode 3,sam
Season 2,Episode 3,gilly
Season 2,Episode 3,sam
Season 2,Episode 3,sam
Season 2,Episode 3,hodor
Season 2,Episode 3,luwin
Season 2,Episode 3,bran stark
Season 2,Episode 3,bran stark
Season 2,Episode 3,luwin
Season 2,Episode 3,bran stark
Season 2,Episode 3,luwin
Season 2,Episode 3,bran stark
Season 2,Episode 3,luwin
Season 2,Episode 3,luwin
Season 2,Episode 3,luwin
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,man
Season 2,Episode 3,crowd
Season 2,Episode 3,loras
Season 2,Episode 3,renly
Season 2,Episode 3,renly
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,renly
Season 2,Episode 3,brienne
Season 2,Episode 3,loras
Season 2,Episode 3,brienne
Season 2,Episode 3,renly
Season 2,Episode 3,colen
Season 2,Episode 3,catelyn stark
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,catelyn stark
Season 2,Episode 3,renly
Season 2,Episode 3,catelyn stark
Season 2,Episode 3,brienne
Season 2,Episode 3,renly
Season 2,Episode 3,loras
Season 2,Episode 3,catelyn stark
Season 2,Episode 3,loras
Season 2,Episode 3,catelyn stark
Season 2,Episode 3,renly
Season 2,Episode 3,gerard
Season 2,Episode 3,renly
Season 2,Episode 3,gerard
Season 2,Episode 3,gerard
Season 2,Episode 3,renly
Season 2,Episode 3,renly
Season 2,Episode 3,catelyn stark
Season 2,Episode 3,renly
Season 2,Episode 3,catelyn stark
Season 2,Episode 3,renly
Season 2,Episode 3,brienne
Season 2,Episode 3,renly
Season 2,Episode 3,brienne
Season 2,Episode 3,catelyn stark
Season 2,Episode 3,brienne
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,balon
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,balon
Season 2,Episode 3,balon
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,balon
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,balon
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,balon
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,balon
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,yara greyjoy
Season 2,Episode 3,shae
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,shae
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,shae
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,shae
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,shae
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,shae
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,shae
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,shae
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,shae
Season 2,Episode 3,myrcella
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,myrcella
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,sansa stark
Season 2,Episode 3,tommen lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,tommen lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,sansa stark
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,shae
Season 2,Episode 3,sansa stark
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,renly
Season 2,Episode 3,renly
Season 2,Episode 3,loras
Season 2,Episode 3,renly
Season 2,Episode 3,renly
Season 2,Episode 3,loras
Season 2,Episode 3,renly
Season 2,Episode 3,loras
Season 2,Episode 3,loras
Season 2,Episode 3,renly
Season 2,Episode 3,loras
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,renly
Season 2,Episode 3,renly
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,renly
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,margaery tyrell
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,cersei lannister
Season 2,Episode 3,priest
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,drowned priest
Season 2,Episode 3,drowned priest
Season 2,Episode 3,theon greyjoy
Season 2,Episode 3,drowned priest
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,petyr baelish
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,bronn
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,bronn
Season 2,Episode 3,pycelle
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,timett
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,pycelle
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,varys
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,tyrion lannister
Season 2,Episode 3,varys
Season 2,Episode 3,yoren
Season 2,Episode 3,arya stark
Season 2,Episode 3,arya stark
Season 2,Episode 3,yoren
Season 2,Episode 3,yoren
Season 2,Episode 3,arya stark
Season 2,Episode 3,yoren
Season 2,Episode 3,arya stark
Season 2,Episode 3,yoren
Season 2,Episode 3,arya stark
Season 2,Episode 3,yoren
Season 2,Episode 3,arya stark
Season 2,Episode 3,yoren
Season 2,Episode 3,yoren
Season 2,Episode 3,gendry baratheon
Season 2,Episode 3,arya stark
Season 2,Episode 3,yoren
Season 2,Episode 3,arya stark
Season 2,Episode 3,gendry baratheon
Season 2,Episode 3,yoren
Season 2,Episode 3,yoren
Season 2,Episode 3,man
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,rennick
Season 2,Episode 4,guard
Season 2,Episode 4,man
Season 2,Episode 4,men
Season 2,Episode 4,roose bolton
Season 2,Episode 4,robb stark
Season 2,Episode 4,roose bolton
Season 2,Episode 4,robb stark
Season 2,Episode 4,roose bolton
Season 2,Episode 4,robb stark
Season 2,Episode 4,roose bolton
Season 2,Episode 4,robb stark
Season 2,Episode 4,roose bolton
Season 2,Episode 4,robb stark
Season 2,Episode 4,wounded soldier
Season 2,Episode 4,talisa
Season 2,Episode 4,talisa
Season 2,Episode 4,wounded soldier
Season 2,Episode 4,talisa
Season 2,Episode 4,wounded soldier
Season 2,Episode 4,talisa
Season 2,Episode 4,wounded soldier
Season 2,Episode 4,wounded soldier
Season 2,Episode 4,robb stark
Season 2,Episode 4,wounded soldier
Season 2,Episode 4,roose bolton
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,wounded soldier
Season 2,Episode 4,robb stark
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,robb stark
Season 2,Episode 4,talisa
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,sansa stark
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,lancel
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,meryn
Season 2,Episode 4,bronn
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,meryn
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,sansa stark
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,bronn
Season 2,Episode 4,tyrion lannister
Season 2,Episode 4,bronn
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,sandor clegane
Season 2,Episode 4,joffrey lannister
Season 2,Episode 4,sandor clegane
